gvkey,fyear,cl_process_N,cl_product_N,cl_N,cl_pcs,cl_pdt,pt_pure_pcs_CT3,pt_pure_pdt_CT3,cl_pcs_shr,pt_pcs_pure_shr_CT3,cl_pcs_pos,cl_pdt_pos,pt_pure_pcs_CT3_pos,pt_pure_pdt_CT3_pos,logstyrpat,L1log1pspat,invout,dispinv
1009,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.7109401,0.920548,0,0
1009,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8117601,0.8259572,0,0
1009,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.7752461,0.7378605,0,0
1009,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8954519,0.6563471,0,0
1010,1975,0.0,424.99999952316284,424.99999952316284,0.0,6.0544395,0.0,4.465908,0.0,0.0,0.0,1.0,0.0,1.0,1.7799529,2.9928186,0,0
1010,1976,26.0,372.0,398.0,3.295837,5.9215784,1.3862944,4.304065,0.06532663,0.039473683,1.0,1.0,1.0,1.0,1.8985275,3.8308246,0,0
1010,1977,13.0,507.0000001192093,520.0000001192093,2.6390574,6.2304816,0.6931472,5.31812,0.025,0.004901961,1.0,1.0,1.0,1.0,1.9976115,4.3481526,0,0
1010,1978,7.0,390.00000005960464,397.00000005960464,2.0794415,5.9687076,0.6931472,4.9972124,0.017632242,0.006756757,1.0,1.0,1.0,1.0,1.9757631,4.794841,0,0
1010,1979,7.0,562.0000001192093,569.0000001192093,2.0794415,6.3332796,0.6931472,5.075174,0.012302285,0.00625,1.0,1.0,1.0,1.0,1.8294998,5.009984,0,0
1010,1980,20.0,433.0,453.0,3.0445225,6.0730443,0.0,4.317488,0.04415011,0.0,1.0,1.0,0.0,1.0,2.160085,5.2552376,0,0
1010,1981,14.0,314.0,328.0,2.7080503,5.7525725,0.0,4.3820267,0.042682927,0.0,1.0,1.0,0.0,1.0,1.6317674,5.303215,0,0
1010,1982,6.0,294.0,300.0,1.9459101,5.6869755,0.0,3.6635616,0.02,0.0,1.0,1.0,0.0,1.0,1.5865984,5.3032284,0,0
1010,1983,0.0,90.0,90.0,0.0,4.5108595,0.0,2.7725887,0.0,0.0,0.0,1.0,0.0,1.0,1.2851982,5.293239,0,1
1011,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8626828,0.0,0,0
1011,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8678998,0.0,0,0
1011,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9304857,0.0,0,0
1011,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8872352,0.0,0,0
1011,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9410002,0.0,0,0
1011,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9916182,0.0,0,0
1011,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9492658,0.0,0,0
